Time / s	
270.8	0.169949
271.2	0.169989
271.6	0.170042
272	0.170033
272.4	0.169969
272.8	0.169927
273.2	0.169981
273.6	0.170339
274	0.170088
274.4	0.170197
274.8	0.170338
275.2	0.169989
275.6	0.170106
276	0.170192
276.4	0.170215
276.8	0.170038
277.2	0.170237
277.6	0.170108
278	0.170285
278.4	0.170273
278.8	0.170152
279.2	0.170171
279.6	0.170021
280	0.170093
280.4	0.170086
280.8	0.170064
281.2	0.170108
281.6	0.170194
282	0.170207
282.4	0.170223
282.8	0.170202
283.2	0.170178
283.6	0.170157
284	0.170139
284.4	0.170146
284.8	0.170175
285.2	0.170157
285.6	0.17021
286	0.170189
286.4	0.170182
286.8	0.170181
287.2	0.170164
287.6	0.170165
288	0.170167
288.4	0.170157
288.8	0.170154
289.2	0.170152
289.6	0.170158
290	0.170114
290.4	0.170085
290.8	0.170146
291.2	0.170128
291.6	0.170097
292	0.170076
292.4	0.170093
292.8	0.170076
293.2	0.170028
293.6	0.170087
294	0.170101
294.4	0.170085
294.8	0.170085
295.2	0.170034
295.6	0.17006
296	0.170066
296.4	0.169951
296.8	0.170041
297.2	0.169907
297.6	0.169982
298	0.170013
298.4	0.170013
298.8	0.169982
299.2	0.169999
299.6	0.169985
300	0.169907
300.4	0.169926
300.8	0.169966
301.2	0.169893
301.6	0.169726
302	0.169884
302.4	0.169878
302.8	0.169813
303.2	0.1697
303.6	0.16959
304	0.169521
304.4	0.16985
304.8	0.169872
305.2	0.169845
305.6	0.169856
306	0.169866
306.4	0.169832
306.8	0.169856
307.2	0.1698
307.6	0.169803
308	0.169822
308.4	0.169693
308.8	0.169788
309.2	0.169699
309.6	0.169801
310	0.169809
310.4	0.169725
310.8	0.169753
311.2	0.169803
311.6	0.169789
312	0.169786
312.4	0.16972
312.8	0.169786
313.2	0.169735
313.6	0.169803
314	0.169768
314.4	0.169678
314.8	0.169768
315.2	0.169365
315.6	0.169393
316	0.169673
316.4	0.16965
316.8	0.169744
317.2	0.169747
317.6	0.169699
318	0.1697
318.4	0.16973
318.8	0.169683
319.2	0.169677
319.6	0.169659
320	0.169687
320.4	0.169589
320.8	0.169593
321.2	0.169615
321.6	0.169656
322	0.169639
322.4	0.169599
322.8	0.169608
323.2	0.169641
323.6	0.169607
324	0.169538
324.4	0.169545
324.8	0.169559
325.2	0.169591
325.6	0.169588
326	0.169585
326.4	0.169575
326.8	0.16949
327.2	0.169518
327.6	0.169534
328	0.169517
328.4	0.169412
328.8	0.169486
329.2	0.169492
329.6	0.169511
330	0.169492
330.4	0.169464
330.8	0.169379
331.2	0.169458
331.6	0.169481
332	0.169459
332.4	0.169474
332.8	0.169443
333.2	0.169393
333.6	0.16945
334	0.169438
334.4	0.169427
334.8	0.169438
335.2	0.169418
335.6	0.169389
336	0.169354
336.4	0.169367
336.8	0.169365
337.2	0.169384
337.6	0.1694
338	0.169386
338.4	0.169367
338.8	0.169307
339.2	0.169333
339.6	0.169322
340	0.16935
340.4	0.169329
340.8	0.169332
341.2	0.16931
341.6	0.169307
342	0.169297
342.4	0.169304
342.8	0.169299
343.2	0.169292
343.6	0.169279
344	0.169218
344.4	0.169211
344.8	0.169217
345.2	0.169277
345.6	0.169239
346	0.169232
346.4	0.169149
346.8	0.169264
347.2	0.169272
347.6	0.169245
348	0.169206
348.4	0.169194
348.8	0.169195
349.2	0.169206
349.6	0.169121
350	0.169086
350.4	0.168989
350.8	0.169085
351.2	0.169098
351.6	0.169134
352	0.1692
352.4	0.169083
352.8	0.169131
353.2	0.169
353.6	0.169103
354	0.169199
354.4	0.169163
354.8	0.169166
355.2	0.169157
355.6	0.169047
356	0.169145
356.4	0.169129
356.8	0.169144
357.2	0.169126
357.6	0.169106
358	0.16915
358.4	0.169128
358.8	0.169123
359.2	0.169125
359.6	0.16912
360	0.169134
360.4	0.169089
360.8	0.169111
361.2	0.169085
361.6	0.169084
362	0.169097
362.4	0.169077
362.8	0.169082
363.2	0.16906
363.6	0.169058
364	0.168985
364.4	0.16909
364.8	0.16905
365.2	0.169047
365.6	0.169026
366	0.169066
366.4	0.169002
366.8	0.169076
367.2	0.169061
367.6	0.169008
368	0.169065
368.4	0.169048
368.8	0.168903
369.2	0.16883
369.6	0.168806
370	0.168688
370.4	0.168769
370.8	0.169012
371.2	0.168988
371.6	0.168968
372	0.168934
372.4	0.168926
372.8	0.168928
373.2	0.168946
373.6	0.168939
374	0.168924
374.4	0.168908
374.8	0.168929
375.2	0.168841
375.6	0.168945
376	0.168935
376.4	0.168919
376.8	0.168866
377.2	0.168822
377.6	0.168879
378	0.168842
378.4	0.16873
378.8	0.168818
379.2	0.168839
379.6	0.168824
380	0.168823
380.4	0.168794
380.8	0.168802
381.2	0.168777
381.6	0.168763
382	0.16878
382.4	0.168789
382.8	0.168765
383.2	0.168749
383.6	0.168738
384	0.168732
384.4	0.168717
384.8	0.168731
385.2	0.16873
385.6	0.168698
386	0.168703
386.4	0.168691
386.8	0.168702
387.2	0.168682
387.6	0.168696
388	0.168684
388.4	0.168671
388.8	0.168689
389.2	0.168645
389.6	0.168673
390	0.16864
390.4	0.168509
390.8	0.168668
391.2	0.168581
391.6	0.168591
392	0.168639
392.4	0.168642
392.8	0.168616
393.2	0.168628
393.6	0.168604
394	0.168511
394.4	0.168616
394.8	0.168614
395.2	0.168545
395.6	0.168402
396	0.168366
396.4	0.168446
396.8	0.168632
397.2	0.168565
397.6	0.168537
398	0.168477
398.4	0.168604
398.8	0.168611
399.2	0.168589
399.6	0.168589
400	0.168586
400.4	0.168396
400.8	0.168469
401.2	0.168405
401.6	0.168364
402	0.168514
402.4	0.168468
402.8	0.168518
403.2	0.168397
403.6	0.16858
404	0.168577
404.4	0.168532
404.8	0.16847
405.2	0.168507
405.6	0.16847
406	0.168481
406.4	0.168431
406.8	0.168465
407.2	0.16844
407.6	0.168496
408	0.16853
408.4	0.16849
408.8	0.168472
409.2	0.168447
409.6	0.168473
410	0.168442
410.4	0.168352
410.8	0.168466
411.2	0.168398
411.6	0.168403
412	0.168411
412.4	0.168395
412.8	0.168442
413.2	0.168361
413.6	0.1684
414	0.168412
414.4	0.168439
414.8	0.168382
415.2	0.168393
415.6	0.168387
416	0.16836
416.4	0.168232
416.8	0.168416
417.2	0.16839
417.6	0.168372
418	0.168373
418.4	0.168325
418.8	0.168388
419.2	0.168383
419.6	0.168339
420	0.168368
420.4	0.168338
420.8	0.16829
